Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,host_body_site,host_common_name,host_life_stage,HOST,host_subject_id,host_taxid,Instrument,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,perturbation,Platform,ReleaseDate,create_date,version,samp_salinity,Sample Name,Source_material_ID,SRA Study,Temp
SRR17186291,AMPLICON,602,15738688,PRJNA786895,SAMN23732431,Metagenome or environmental,9475251,GEOMAR KIEL,2020-06-11,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",1-3 m,SRX13369133,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,10,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,RecolInj_LS250_T0_10,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,18 PSU,"Halichondria panicea, Recolonization by injection Experiment: RecolInj_LS250_T0_10",RecolInj_LS250_T0_10,SRP350098,12 °C
SRR17186292,AMPLICON,602,24597118,PRJNA786895,SAMN23732430,Metagenome or environmental,15054239,GEOMAR KIEL,2020-06-11,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",1-3 m,SRX13369132,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,7,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,RecolInj_LS249_T0_7,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,18 PSU,"Halichondria panicea, Recolonization by injection Experiment: RecolInj_LS249_T0_7",RecolInj_LS249_T0_7,SRP350098,12 °C
SRR17186293,AMPLICON,602,16330454,PRJNA786895,SAMN23732429,Metagenome or environmental,10211798,GEOMAR KIEL,2020-06-11,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",1-3 m,SRX13369131,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,2,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,RecolInj_LS248_T0_2,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,18 PSU,"Halichondria panicea, Recolonization by injection Experiment: RecolInj_LS248_T0_2",RecolInj_LS248_T0_2,SRP350098,12 °C
SRR17186302,AMPLICON,601,5681236,PRJNA786895,SAMN23732323,Metagenome or environmental,2524528,GEOMAR KIEL,2018-11-05,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",1-3 m,SRX13369122,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,2,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,ABExp_LS69_T0_2,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,16 PSU,"Halichondria panicea, Antibiotic Exposure Experiment: ABExp_LS69_T0_2",ABExp_LS69_T0_2,SRP350098,12 °C
SRR17186303,AMPLICON,600,7390538,PRJNA786895,SAMN23732322,Metagenome or environmental,3267676,GEOMAR KIEL,2018-11-05,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",1-3 m,SRX13369121,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,1,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,ABExp_LS68_T0_1,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,16 PSU,"Halichondria panicea, Antibiotic Exposure Experiment: ABExp_LS68_T0_1",ABExp_LS68_T0_1,SRP350098,12 °C
SRR17186364,AMPLICON,602,21081438,PRJNA786895,SAMN23732337,Metagenome or environmental,11919430,GEOMAR KIEL,2019-11-14,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",1-3 m,SRX13369354,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,4,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,RecolInc_LS156_T0_4,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:32:00Z,1,15 PSU,"Halichondria panicea, Recolonization by incubation Experiment: RecolInc_LS156_T0_4",RecolInc_LS156_T0_4,SRP350098,14 °C
SRR17186396,AMPLICON,600,3299844,PRJNA786895,SAMN23732325,Metagenome or environmental,1502173,GEOMAR KIEL,2018-11-05,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",1-3 m,SRX13369322,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,4,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,ABExp_LS71_T0_4,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,16 PSU,"Halichondria panicea, Antibiotic Exposure Experiment: ABExp_LS71_T0_4",ABExp_LS71_T0_4,SRP350098,12 °C
SRR17186400,AMPLICON,602,23748900,PRJNA786895,SAMN23732612,Metagenome or environmental,14864125,GEOMAR KIEL,2020-06-11,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",not applicable,SRX13369318,uncalculated,uncalculated,not applicable,not applicable,not applicable,not applicable,Halichondria panicea,not applicable,not applicable,Illumina MiSeq,culture seawater,not applicable,RecolInj_LS432_T0_aquarium_3_filter,PAIRED,PCR,GENOMIC,seawater metagenome,"T0, flow-through maintenance seawater",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:32:00Z,1,18 PSU,"Halichondria panicea, Recolonization by injection Experiment: RecolInj_LS432_T0_aquarium_3_filter",RecolInj_LS432_T0_aquarium_3_filter,SRP350098,12 °C
SRR17186402,AMPLICON,602,29567832,PRJNA786895,SAMN23732611,Metagenome or environmental,18091200,GEOMAR KIEL,2020-06-11,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",not applicable,SRX13369316,uncalculated,uncalculated,not applicable,not applicable,not applicable,not applicable,Halichondria panicea,not applicable,not applicable,Illumina MiSeq,culture seawater,not applicable,RecolInj_LS431_T0_aquarium_2_filter,PAIRED,PCR,GENOMIC,seawater metagenome,"T0, flow-through maintenance seawater",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:32:00Z,1,18 PSU,"Halichondria panicea, Recolonization by injection Experiment: RecolInj_LS431_T0_aquarium_2_filter",RecolInj_LS431_T0_aquarium_2_filter,SRP350098,12 °C
SRR17186403,AMPLICON,602,30786882,PRJNA786895,SAMN23732610,Metagenome or environmental,18863375,GEOMAR KIEL,2020-06-11,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",not applicable,SRX13369315,uncalculated,uncalculated,not applicable,not applicable,not applicable,not applicable,Halichondria panicea,not applicable,not applicable,Illumina MiSeq,culture seawater,not applicable,RecolInj_LS430_T0_aquarium_1_filter,PAIRED,PCR,GENOMIC,seawater metagenome,"T0, flow-through maintenance seawater",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:32:00Z,1,18 PSU,"Halichondria panicea, Recolonization by injection Experiment: RecolInj_LS430_T0_aquarium_1_filter",RecolInj_LS430_T0_aquarium_1_filter,SRP350098,12 °C
SRR17186405,AMPLICON,600,4296492,PRJNA786895,SAMN23732324,Metagenome or environmental,1923700,GEOMAR KIEL,2018-11-05,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",1-3 m,SRX13369313,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,3,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,ABExp_LS70_T0_3,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,16 PSU,"Halichondria panicea, Antibiotic Exposure Experiment: ABExp_LS70_T0_3",ABExp_LS70_T0_3,SRP350098,12 °C
SRR17186423,AMPLICON,602,16449650,PRJNA786895,SAMN23732336,Metagenome or environmental,9132490,GEOMAR KIEL,2019-11-14,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",1-3 m,SRX13369295,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,3,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,RecolInc_LS155_T0_3,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:32:00Z,1,15 PSU,"Halichondria panicea, Recolonization by incubation Experiment: RecolInc_LS155_T0_3",RecolInc_LS155_T0_3,SRP350098,14 °C
