Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version,HOST,REPLICATE,Depth
SRR8040146,AMPLICON,600,22098076,PRJNA495906,SAMN10234033,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",11791402,MATIS OHF,2016-09,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",sea water,sea coast,sea water,SRX4870726,Iceland,Europe,Iceland:Seltjarnarnes,Illumina MiSeq,64.15 N 22.00 W,Gr19,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Gr19,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual1,
SRR8040148,AMPLICON,595,21908545,PRJNA495906,SAMN10234005,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",13280977,MATIS OHF,2016-06,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",sea water,sea coast,sea water,SRX4870724,Iceland,Europe,Iceland:Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Eyr30,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Eyr30,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual3,
SRR8040150,AMPLICON,594,43746444,PRJNA495906,SAMN10234000,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",26160495,MATIS OHF,2016-05,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",sea water,sea coast,sea water,SRX4870722,Iceland,Europe,Iceland:Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Eyr25,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Eyr25,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual1,
SRR8040153,AMPLICON,593,30149886,PRJNA495906,SAMN10234003,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",18055382,MATIS OHF,2016-06,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",sea water,sea coast,sea water,SRX4870719,Iceland,Europe,Iceland:Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Eyr28,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Eyr28,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual1,
SRR8040156,AMPLICON,593,55327562,PRJNA495906,SAMN10233998,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",33101510,MATIS OHF,2016-04,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",sea water,sea coast,sea water,SRX4870716,Iceland,Europe,Iceland:Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Eyr23,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Eyr23,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual2,
SRR8040164,AMPLICON,597,49280008,PRJNA495906,SAMN10234016,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",34881664,MATIS OHF,2015-03,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",sea water,sea coast,sea water,SRX4870708,Iceland,Europe,Iceland:Seltjarnarnes,Illumina MiSeq,64.15 N 22.00 W,Gr2,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Gr2,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual2,
SRR8040171,AMPLICON,598,19381946,PRJNA495906,SAMN10234035,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",10536016,MATIS OHF,2016-09,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",sea water,sea coast,sea water,SRX4870701,Iceland,Europe,Iceland:Seltjarnarnes,Illumina MiSeq,64.15 N 22.00 W,Gr21,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Gr21,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual3,
SRR8040371,AMPLICON,598,27166626,PRJNA495906,SAMN10234790,"MIMS.me,MIGS/MIMS/MIMARKS.water",14773586,MATIS OHF,2016-04,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",sea water,sea coast,sea water,SRX4870899,Iceland,Europe,Iceland: Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,EyrSW8,PAIRED,PCR,METAGENOMIC,seawater metagenome,ILLUMINA,2018-11-09T00:00:00Z,EyrSW8,SRP165270,2018-10-12T07:44:00Z,1,,,0
SRR8040373,AMPLICON,598,24402934,PRJNA495906,SAMN10234792,"MIMS.me,MIGS/MIMS/MIMARKS.water",13184481,MATIS OHF,2016-06,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",sea water,sea coast,sea water,SRX4870897,Iceland,Europe,Iceland: Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,EyrSW10,PAIRED,PCR,METAGENOMIC,seawater metagenome,ILLUMINA,2018-11-09T00:00:00Z,EyrSW10,SRP165270,2018-10-12T07:44:00Z,1,,,0
SRR8040374,AMPLICON,584,60551620,PRJNA495906,SAMN10234802,"MIMS.me,MIGS/MIMS/MIMARKS.water",42875028,MATIS OHF,2014-11,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",sea water,sea coast,sea water,SRX4870896,Iceland,Europe,Iceland: Hafnir,Illumina MiSeq,63.91 N 22.68 W,HafSW1,PAIRED,PCR,METAGENOMIC,seawater metagenome,ILLUMINA,2018-11-09T00:00:00Z,HafSW1,SRP165270,2018-10-12T07:44:00Z,1,,,0
SRR8040375,AMPLICON,595,27303654,PRJNA495906,SAMN10234801,"MIMS.me,MIGS/MIMS/MIMARKS.water",14834131,MATIS OHF,2016-06,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",sea water,sea coast,sea water,SRX4870895,Iceland,Europe,Iceland: Seltjarnarnes,Illumina MiSeq,64.15 N 22.00 W,GroSW6,PAIRED,PCR,METAGENOMIC,seawater metagenome,ILLUMINA,2018-11-09T00:00:00Z,GroSW6,SRP165270,2018-10-12T07:44:00Z,1,,,0
SRR8040377,AMPLICON,600,24369968,PRJNA495906,SAMN10234791,"MIMS.me,MIGS/MIMS/MIMARKS.water",13242658,MATIS OHF,2016-05,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",sea water,sea coast,sea water,SRX4870893,Iceland,Europe,Iceland: Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,EyrSW9,PAIRED,PCR,METAGENOMIC,seawater metagenome,ILLUMINA,2018-11-09T00:00:00Z,EyrSW9,SRP165270,2018-10-12T07:44:00Z,1,,,0
SRR8040378,AMPLICON,597,41315694,PRJNA495906,SAMN10234786,"MIMS.me,MIGS/MIMS/MIMARKS.water",30244054,MATIS OHF,2015-12,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",sea water,sea coast,sea water,SRX4870892,Iceland,Europe,Iceland: Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,EyrSW4,PAIRED,PCR,METAGENOMIC,seawater metagenome,ILLUMINA,2018-11-09T00:00:00Z,EyrSW4,SRP165270,2018-10-12T07:44:00Z,1,,,0
SRR8040385,AMPLICON,598,23729235,PRJNA495906,SAMN10234800,"MIMS.me,MIGS/MIMS/MIMARKS.water",13935004,MATIS OHF,2016-03,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",sea water,sea coast,sea water,SRX4870885,Iceland,Europe,Iceland: Seltjarnarnes,Illumina MiSeq,64.15 N 22.00 W,GroSW5,PAIRED,PCR,METAGENOMIC,seawater metagenome,ILLUMINA,2018-11-09T00:00:00Z,GroSW5,SRP165270,2018-10-12T07:44:00Z,1,,,0
SRR8040386,AMPLICON,599,32280806,PRJNA495906,SAMN10234799,"MIMS.me,MIGS/MIMS/MIMARKS.water",23558990,MATIS OHF,2015-12,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",sea water,sea coast,sea water,SRX4870884,Iceland,Europe,Iceland: Seltjarnarnes,Illumina MiSeq,64.15 N 22.00 W,GroSW4,PAIRED,PCR,METAGENOMIC,seawater metagenome,ILLUMINA,2018-11-09T00:00:00Z,GroSW4,SRP165270,2018-10-12T07:44:00Z,1,,,0
SRR8040104,AMPLICON,592,35483859,PRJNA495906,SAMN10234029,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",21225587,MATIS OHF,2016-03,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",sea water,sea coast,sea water,SRX4870768,Iceland,Europe,Iceland:Seltjarnarnes,Illumina MiSeq,64.15 N 22.00 W,Gr15,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Gr15,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual3,
SRR8040105,AMPLICON,598,62267697,PRJNA495906,SAMN10234041,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",43789710,MATIS OHF,2014-11,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",sea water,sea coast,sea water,SRX4870767,Iceland,Europe,Iceland:Hafnir,Illumina MiSeq,63.91 N 22.68 W,Haf6,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Haf6,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual3,
SRR8040114,AMPLICON,596,74005239,PRJNA495906,SAMN10233986,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",53211066,MATIS OHF,2015-12,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",sea water,sea coast,sea water,SRX4870758,Iceland,Europe,Iceland:Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Eyr11,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Eyr11,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual2,
SRR8040116,AMPLICON,591,33146443,PRJNA495906,SAMN10233988,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",20275173,MATIS OHF,2016-01,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",sea water,sea coast,sea water,SRX4870756,Iceland,Europe,Iceland:Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Eyr13,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Eyr13,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual1,
SRR8040117,AMPLICON,592,35703371,PRJNA495906,SAMN10233991,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",21371147,MATIS OHF,2016-02,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",sea water,sea coast,sea water,SRX4870755,Iceland,Europe,Iceland:Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Eyr16,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Eyr16,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual1,
SRR8040119,AMPLICON,590,55051864,PRJNA495906,SAMN10233993,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",33789038,MATIS OHF,2016-02,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",sea water,sea coast,sea water,SRX4870753,Iceland,Europe,Iceland:Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Eyr18,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Eyr18,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual3,
SRR8040123,AMPLICON,598,15750530,PRJNA495906,SAMN10234007,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",8533741,MATIS OHF,2016-07,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",sea water,sea coast,sea water,SRX4870749,Iceland,Europe,Iceland:Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Eyr32,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Eyr32,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual2,
SRR8040126,AMPLICON,599,21632880,PRJNA495906,SAMN10234012,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",11725694,MATIS OHF,2016-09,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",sea water,sea coast,sea water,SRX4870746,Iceland,Europe,Iceland:Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Eyr37,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Eyr37,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual1,
SRR8040142,AMPLICON,594,103833022,PRJNA495906,SAMN10233983,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",72230125,MATIS OHF,2015-11,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",sea water,sea coast,sea water,SRX4870730,Iceland,Europe,Iceland:Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Eyr8,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Eyr8,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual2,
SRR8040157,AMPLICON,585,46355517,PRJNA495906,SAMN10233999,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",27574656,MATIS OHF,2016-04,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",sea water,sea coast,sea water,SRX4870715,Iceland,Europe,Iceland:Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Eyr24,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Eyr24,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual3,
SRR8040376,AMPLICON,600,26053311,PRJNA495906,SAMN10234789,"MIMS.me,MIGS/MIMS/MIMARKS.water",14288984,MATIS OHF,2016-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sea water,sea coast,sea water,SRX4870894,Iceland,Europe,Iceland: Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,EyrSW7,PAIRED,PCR,METAGENOMIC,seawater metagenome,ILLUMINA,2018-11-09T00:00:00Z,EyrSW7,SRP165270,2018-10-12T07:44:00Z,1,,,0
SRR8040120,AMPLICON,590,38718958,PRJNA495906,SAMN10233992,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",22979236,MATIS OHF,2016-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sea water,sea coast,sea water,SRX4870752,Iceland,Europe,Iceland:Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Eyr17,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Eyr17,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual2,
SRR8040383,AMPLICON,599,43309733,PRJNA495906,SAMN10234798,"MIMS.me,MIGS/MIMS/MIMARKS.water",31537979,MATIS OHF,2015-09,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sea water,sea coast,sea water,SRX4870887,Iceland,Europe,Iceland: Seltjarnarnes,Illumina MiSeq,64.15 N 22.00 W,GroSW3,PAIRED,PCR,METAGENOMIC,seawater metagenome,ILLUMINA,2018-11-09T00:00:00Z,GroSW3,SRP165270,2018-10-12T07:44:00Z,1,,,0
SRR8043037,AMPLICON,594,294832172,PRJNA495906,SAMN10236533,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",211360013,MATIS OHF,2015-07,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sea water,saline water aquarium,sea water,SRX4872790,Iceland,Europe,Iceland: Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Ex_Hp11,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,Ex_Hp11,SRP165270,2018-10-12T12:39:00Z,1,Halichondria panicea,individual 2,
SRR8043030,AMPLICON,597,53376998,PRJNA495906,SAMN10236540,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",38123488,MATIS OHF,2015-08,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sea water,saline water aquarium,sea water,SRX4872797,Iceland,Europe,Iceland: Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Ex_Hp18,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,Ex_Hp18,SRP165270,2018-10-12T12:38:00Z,1,Halichondria panicea,individual 3,
SRR8043031,AMPLICON,596,147441425,PRJNA495906,SAMN10236539,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",103790115,MATIS OHF,2015-08,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sea water,saline water aquarium,sea water,SRX4872796,Iceland,Europe,Iceland: Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Ex_Hp17,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,Ex_Hp17,SRP165270,2018-10-12T12:38:00Z,1,Halichondria panicea,individual 2,
SRR8040149,AMPLICON,591,50114888,PRJNA495906,SAMN10234028,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",30186781,MATIS OHF,2016-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sea water,sea coast,sea water,SRX4870723,Iceland,Europe,Iceland:Seltjarnarnes,Illumina MiSeq,64.15 N 22.00 W,Gr14,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Gr14,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual2,
SRR8040163,AMPLICON,596,311484751,PRJNA495906,SAMN10234019,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",218375726,MATIS OHF,2015-07,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sea water,sea coast,sea water,SRX4870709,Iceland,Europe,Iceland:Seltjarnarnes,Illumina MiSeq,64.15 N 22.00 W,Gr5,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Gr5,SRP165270,2018-10-12T07:02:00Z,1,Halichondria panicea,individual2,
SRR8040382,AMPLICON,600,30721370,PRJNA495906,SAMN10234795,"MIMS.me,MIGS/MIMS/MIMARKS.water",16592034,MATIS OHF,2016-09,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sea water,sea coast,sea water,SRX4870888,Iceland,Europe,Iceland: Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,EyrSW13,PAIRED,PCR,METAGENOMIC,seawater metagenome,ILLUMINA,2018-11-09T00:00:00Z,EyrSW13,SRP165270,2018-10-12T07:44:00Z,1,,,0
SRR8040140,AMPLICON,596,163163972,PRJNA495906,SAMN10233977,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",115210787,MATIS OHF,2015-09,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sea water,sea coast,sea water,SRX4870732,Iceland,Europe,Iceland:Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Eyr2,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Eyr2,SRP165270,2018-10-12T07:02:00Z,1,Halichondria panicea,individual2,
SRR8040141,AMPLICON,597,63910043,PRJNA495906,SAMN10233976,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",45439381,MATIS OHF,2015-09,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sea water,sea coast,sea water,SRX4870731,Iceland,Europe,Iceland:Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Eyr1,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Eyr1,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual1,
